state_sub,State,Suburb,Count_of_listings,Average_Price,Average_Vehicle_Age,Postcode,Latitude,Longitude,Taxable_income_no.,Taxable_income,Total_work_related_car_expenses_no.,Total_work_related_car_expenses,Avg_Income,Avg_WR_car_expense
wakalgoorlie,WA,Kalgoorlie,1,23000,9,6430,-30.81,121.38,14154,1106423565,3277,6108620,78170.38046,1864.089106
wastirling,WA,Stirling,1,23000,6,6021,-31.86,115.82,12528,816452889,2976,6432807,65170.24976,2161.561492
nswprestons,NSW,Prestons,1,22999,10,2170,-33.95,150.91,54859,2973663183,13459,33304630,54205.56669,2474.524853
qldlongreach,QLD,Longreach,1,22990,4,4730,-23.04,144.53,1923,108286820,355,814698,56311.39886,2294.923944
waalexander heights,WA,Alexander Heights,1,22990,9,6064,-31.83,115.87,16006,785085193,3654,6997553,49049.43103,1915.039135
nsweastern creek,NSW,Eastern Creek,13,22944,12.23,2766,-33.8,150.85,9144,498886248,2050,4353392,54558.86352,2123.605854
nswglendale,NSW,Glendale,40,22913,6.2,2285,-32.93,151.66,18234,1060937246,5824,12772664,58184.55885,2193.108516
sapooraka,SA,Pooraka,38,22894,14.79,5095,-34.82,138.62,12141,666767006,3082,6231518,54918.62334,2021.907203
vicbraeside,VIC,Braeside,66,22865,11.59,3195,-38.03,145.1,22929,1603774842,6538,17885005,69945.25893,2735.546803
qldholland park,QLD,Holland Park,5,22834,11.4,4121,-27.52,153.06,16073,1217859540,3549,8587325,75770.51826,2419.646379
nswarmidale,NSW,Armidale,87,22833,9.37,2350,-30.24,152.01,14284,763825975,2708,5110225,53474.23516,1887.084564
saascot park,SA,Ascot Park,1,22800,5,5043,-34.99,138.56,10689,534362350,2578,4892211,49991.79998,1897.676881
qldcapalaba,QLD,Capalaba,79,22786,10.32,4157,-27.53,153.19,12119,703266377,2907,7096551,58030.06659,2441.194014
wabanksia grove,WA,Banksia Grove,3,22517,7,6031,-31.7,115.81,10542,641450179,3213,6879380,60847.10482,2141.107999
samaylands,SA,Maylands,1,22500,5,5069,-34.91,138.62,5326,461606138,1061,2531772,86670.32257,2386.213007
sastirling,SA,Stirling,1,22500,9,5152,-34.97,138.7,4142,383542831,883,2367949,92598.46234,2681.708947
viccollingwood,VIC,Collingwood,1,22500,7,3066,-37.8,144.98,6426,476387160,1226,2855702,74134.32306,2329.28385
vicst arnaud,VIC,St Arnaud,1,22500,12,3478,-36.54,142.92,1310,57880258,378,590078,44183.40305,1561.05291
nswingleburn,NSW,Ingleburn,38,22483,11.5,1890,-33.96,150.8,NULL,NULL,NULL,NULL,NULL,NULL
nswbankstown,NSW,Bankstown,108,22481,7.69,1885,-33.91,151.02,NULL,NULL,NULL,NULL,NULL,NULL
sahindmarsh,SA,Hindmarsh,34,22410,8.09,5007,-34.9,138.58,4715,276027286,1200,2167011,58542.37243,1805.8425
qldchermside,QLD,Chermside,104,22399,7.41,4032,-27.39,153.03,11140,634697849,2375,4957166,56974.67226,2087.227789
qldbiggera waters,QLD,Biggera Waters,12,22393,14.75,4216,-27.93,153.4,22992,1368209983,5415,14273847,59508.08903,2635.982825
wacollie,WA,Collie,5,22392,8.6,6225,-33.34,116.1,4572,283508117,978,1623181,62009.64939,1659.694274
vicringwood,VIC,Ringwood,525,22373,10.9,3134,-37.81,145.23,21059,1343043680,5271,14079910,63775.28278,2671.202808
nswjerrabomberra,NSW,Jerrabomberra,4,22363,10.5,2619,-35.38,149.2,6302,551790729,1802,3863138,87558.0338,2143.805771
nswshell cove,NSW,Shell Cove,3,22330,8.67,2529,-34.57,150.83,15920,962320893,5752,12570965,60447.29227,2185.494611
tasinvermay,TAS,Invermay,42,22298,7.36,7248,-41.42,147.13,7722,323725029,1448,2518115,41922.43318,1739.029696
qldmount ommaney,QLD,Mount Ommaney,2,22275,7.5,4074,-27.56,152.93,15289,979797049,3584,7851235,64085.09706,2190.634766
savictor harbor,SA,Victor Harbor,21,22234,8.29,5211,-35.53,138.53,8143,362633823,1473,2803347,44533.19698,1903.154786
qldcoopers plains,QLD,Coopers Plains,96,22231,11.15,4108,-27.57,153.02,3832,176772055,758,1513807,46130.49452,1997.10686
qldgympie,QLD,Gympie,4,22186,11,4570,-26.35,152.67,22435,1031488783,4660,9735625,45976.76768,2089.189914
waharvey,WA,Harvey,11,22172,6.82,6220,-33,115.89,2792,161958165,562,972833,58007.93875,1731.019573
qldkingston,QLD,Kingston,4,22118,7.75,4114,-27.66,153.12,12413,514263474,2360,4955958,41429.42673,2099.982203
vicmelton,VIC,Melton,31,22072,7.39,3337,-37.68,144.59,20909,1096784366,7148,16128150,52455.13253,2256.316452
nswterrigal,NSW,Terrigal,3,22067,8.67,2260,-33.43,151.41,15438,1064000512,4104,11239404,68920.87783,2738.646199
wajoondalup,WA,Joondalup,6,22050,13,6027,-31.78,115.76,26699,1699354573,6379,13556856,63648.62253,2125.232168
nswarrawarra,NSW,Arrawarra,1,22000,18,2456,-30.06,153.19,9328,433594701,2276,5091927,46483.1369,2237.226274
nswmount druitt,NSW,Mount Druitt,3,22000,10,2770,-33.73,150.82,28302,1384789596,6235,18009791,48929.03668,2888.498957
qldcaloundra,QLD,Caloundra,3,22000,5.33,4551,-26.78,153.11,36674,1973273965,9560,23266489,53805.80152,2433.733159
qldheatley,QLD,Heatley,1,22000,6,4814,-19.3,146.76,25296,1530437801,6571,11668993,60501.17809,1775.832141
saglandore,SA,Glandore,1,22000,6,5037,-34.96,138.57,6505,346166550,1463,2693961,53215.45734,1841.395079
sawhyte yarcowie,SA,Whyte Yarcowie,1,22000,6,5420,-33.18,138.76,50,2323220,7,10215,46464.4,1459.285714
sawoodcroft,SA,Woodcroft,3,22000,13,5162,-35.12,138.52,19228,930341703,5173,10112771,48384.73596,1954.91417
viccavendish,VIC,Cavendish,1,22000,14,3314,-37.59,141.94,335,18953025,52,107254,56576.19403,2062.576923
vicchelsea,VIC,Chelsea,1,22000,5,3196,-38.06,145.12,15696,1016617598,4710,12341674,64769.21496,2620.312951
vicglenroy,VIC,Glenroy,6,22000,7.67,3046,-37.7,144.92,21226,1141664751,5290,12127853,53786.14675,2292.599811
waglendalough,WA,Glendalough,2,22000,11,6016,-31.92,115.81,6608,515666860,1626,3555496,78036.75242,2186.651907
nswrussell lea,NSW,Russell Lea,1,21999,7,2046,-33.85,151.13,16984,1519545498,3851,12416026,89469.23563,3224.104388
vicmont albert,VIC,Mont Albert,1,21999,7,3127,-37.82,145.1,12727,1187373034,2603,7199371,93295.59472,2765.797541
nswlittle hartley,NSW,Little Hartley,1,21990,9,2790,-33.22,150.02,7507,431820919,1557,3074460,57522.43493,1974.60501
wainglewood,WA,Inglewood,1,21990,11,6052,-31.91,115.89,7124,522548356,1647,3386558,73350.41494,2056.197936
qldthe gap,QLD,The Gap,3,21933,9.33,4061,-27.44,152.94,10680,837518993,2185,5405540,78419.38137,2473.93135
vicdonvale,VIC,Donvale,2,21875,9,3111,-38.18,144.47,7817,591431523,1745,5244171,75659.65498,3005.255587
nswgundagai,NSW,Gundagai,3,21833,7.67,2722,-34.82,148.08,1737,81035890,360,777649,46652.78641,2160.136111
nswmalabar,NSW,Malabar,1,21800,6,2036,-33.98,151.24,18330,1295667079,4257,11432462,70685.60169,2685.567771
nsworan park,NSW,Oran Park,5,21780,9.8,2570,-34.08,150.54,31447,2093982355,10457,28958713,66587.66671,2769.313665
qldingham,QLD,Ingham,2,21750,8,4850,-18.47,145.89,5978,303980154,1273,2188635,50849.8083,1719.27337
vicmount eliza,VIC,Mount Eliza,7,21694,10.71,3930,-38.19,145.08,11482,984915082,2959,9792727,85779.0526,3309.471781
nswcardiff,NSW,Cardiff,319,21682,8.72,2285,-32.93,151.66,18234,1060937246,5824,12772664,58184.55885,2193.108516
qldpimpama,QLD,Pimpama,9,21680,10.89,4209,-27.87,153.32,37624,2064704890,11801,29995673,54877.33601,2541.79078
viccroydon,VIC,Croydon,9,21514,7.78,3136,-37.8,145.28,27447,1615347484,7321,18872109,58853.33494,2577.804808
nswberry,NSW,Berry,1,21500,9,2535,-34.85,150.68,4220,252492848,986,2117601,59832.42844,2147.668357
nswcoledale,NSW,Coledale,1,21500,8,2515,-34.31,150.93,7258,574919753,1918,4569794,79211.87007,2382.582899
nswfingal head,NSW,Fingal Head,1,21500,8,2487,-28.3,153.57,8444,539843948,2296,5740873,63932.25343,2500.380226
nswsydney olympic park,NSW,Sydney olympic park,1,21500,6,2127,-33.85,151.08,13084,848160660,2907,7998997,64824.26322,2751.632955
nswwerrington,NSW,Werrington,1,21500,6,2747,-33.74,150.72,27765,1621369290,8064,19813809,58396.15667,2457.069568
nswyowie bay,NSW,Yowie Bay,1,21500,14,2228,-34.03,151.1,11955,828886196,2868,7625430,69333.85161,2658.797071
qldinkerman,QLD,Inkerman,1,21500,21,4806,-19.67,147.45,2200,115528498,467,880630,52512.95364,1885.717345
vicsea lake,VIC,Sea Lake,2,21500,5,3533,-35.36,142.79,400,19949819,74,175768,49874.5475,2375.243243
qldbundall,QLD,Bundall,4,21468,9.25,4217,-28.01,153.39,27170,1717509312,5578,14415947,63213.44542,2584.429365
qldbardon,QLD,Bardon,3,21463,11.33,4065,-27.46,152.98,6296,677975391,1345,3598248,107683.5119,2675.277323
nswstrathfield,NSW,Strathfield,2,21450,7.5,1816,-33.88,151.09,NULL,NULL,NULL,NULL,NULL,NULL
vicwestmeadows,VIC,Westmeadows,2,21450,12.5,3049,-37.67,144.89,5697,325516575,1886,4851346,57138.24381,2572.293743
nswmonterey,NSW,Monterey,2,21340,9.5,2217,-33.98,151.13,18147,1099531695,3498,8997453,60590.2736,2572.170669
saparafield gardens,SA,Parafield Gardens,7,21320,10,5107,-34.79,138.6,8921,412048210,2073,3881532,46188.56743,1872.422576
wawest perth,WA,West Perth,54,21290,10.48,6005,-31.97,115.84,4232,355050187,856,1657267,83896.54702,1936.059579
qldruncorn,QLD,Runcorn,2,21250,10,4113,-27.58,153.09,18676,916925775,3558,7463369,49096.47542,2097.63041
vicelwood,VIC,Elwood,2,21195,7.5,3184,-37.88,145,11145,1014037526,3005,8748474,90985.87044,2911.305824
qldmurgon,QLD,Murgon,4,21190,9.25,4605,-26.2,151.89,1979,81417849,313,599270,41140.90399,1914.600639
waeast bunbury,WA,East Bunbury,23,21164,9.57,6230,-33.33,115.64,25068,1555845190,5723,10550128,62064.99082,1843.461122
wasouth bunbury,WA,South Bunbury,7,21101,6.14,6230,-33.33,115.64,25068,1555845190,5723,10550128,62064.99082,1843.461122
sabrighton,SA,Brighton,19,21096,12.89,5048,-35.02,138.52,9108,574445002,2164,4689483,63070.37791,2167.0439
vicofficer,VIC,Officer,37,21087,9.65,3809,-38.06,145.41,8886,523791216,3123,7619329,58945.66914,2439.746718
qldthornlands,QLD,Thornlands,8,21070,9.88,4164,-27.56,153.26,10707,676070317,2916,7960800,63142.83338,2730.041152
vicdoreen,VIC,Doreen,7,21036,8.29,3754,-37.62,145.15,26245,1553234142,8844,24159506,59182.09724,2731.739711
vicairport west,VIC,Airport West,10,21035,11.3,3042,-37.71,144.89,9907,629377980,3108,8611949,63528.61411,2770.897362
qldreedy creek,QLD,Reedy Creek,10,21020,9.6,4227,-28.11,153.4,13647,749170755,4041,9453204,54896.36953,2339.32294
qldmarcoola,QLD,Marcoola,9,21006,13.67,4564,-26.58,153.1,7142,380337647,1770,3903655,53253.66102,2205.454802
ntparap,NT,Parap,2,21000,6,804,-12.43,130.84,132,10606966,32,51673,80355.80303,1614.78125
qldandergrove,QLD,Andergrove,1,21000,4,4740,-21.16,149.1,50520,3481267392,12659,29733798,68908.69739,2348.826764
qldwestlake,QLD,Westlake,2,21000,5.5,4074,-27.56,152.93,15289,979797049,3584,7851235,64085.09706,2190.634766
sakaroonda,SA,Karoonda,2,21000,6,5307,-35.1,139.89,310,10023131,49,107259,32332.68065,2188.959184
satennyson,SA,Tennyson,1,21000,9,5022,-34.9,138.49,10202,741178435,2594,6023651,72650.30729,2322.147648
vichamlyn heights,VIC,Hamlyn Heights,2,21000,7,3215,-38.11,144.33,12173,695399325,3838,8575009,57126.37189,2234.238927
vicsafety beach,VIC,Safety Beach,1,21000,6,3936,-38.35,144.95,7178,417075315,1771,5256276,58104.66913,2967.970638
vicspotswood,VIC,Spotswood,1,21000,8,3015,-37.84,144.88,11420,908966637,3370,9357170,79594.27644,2776.608309
wamerriwa,WA,Merriwa,1,21000,9,6030,-31.68,115.72,23586,1440816036,6153,13264593,61087.76545,2155.792784
qldgordonvale,QLD,Gordonvale,1,20999,6,4865,-17.15,145.74,4780,268757615,1257,2392416,56225.44247,1903.274463
nswbilgola,NSW,Bilgola,2,20990,11,2107,-33.64,151.33,10315,1011869331,1976,6924038,98096.88134,3504.067814
nswearlwood,NSW,Earlwood,3,20967,17.67,2206,-33.93,151.1,11479,805111927,2461,7003350,70137.81052,2845.733442
nswbowral,NSW,Bowral,7,20907,8.86,2576,-34.54,150.39,8409,622441644,1344,3778328,74020.88762,2811.255952
qldtingalpa,QLD,Tingalpa,12,20902,6.42,4173,-27.47,153.13,5219,314925332,1321,3137101,60342.08316,2374.792581
nswconcord west,NSW,Concord West,1,20900,8,2138,-33.85,151.09,12179,807648998,2111,5596401,66314.88612,2651.066319
sagreen fields,SA,Green Fields,2,20900,10,5107,-34.79,138.6,8921,412048210,2073,3881532,46188.56743,1872.422576
qlddeagon,QLD,Deagon,32,20896,12.81,4017,-27.33,153.03,22203,1355246209,5175,11656985,61038.87803,2252.557488
nswmayfield west,NSW,Mayfield West,80,20888,9.74,2304,-32.88,151.75,8639,481682840,2493,4976308,55756.78203,1996.112314
nswclemton park,NSW,Clemton Park,3,20767,7.67,2206,-33.93,151.1,11479,805111927,2461,7003350,70137.81052,2845.733442
saallenby gardens,SA,Allenby Gardens,13,20729,10.46,5009,-34.9,138.56,3090,164635142,696,1331593,53279.98123,1913.208333
vicdingley village,VIC,Dingley Village,16,20727,5.13,3172,-37.97,145.12,13272,686264019,3053,7259298,51707.65665,2377.758926
tasburnie,TAS,Burnie,4,20675,7.25,7320,-41.07,145.89,8924,478142070,2184,4289647,53579.34446,1964.124084
nswkings langley,NSW,Kings Langley,3,20667,8,2147,-33.74,150.92,20750,1204484115,4786,11920924,58047.42723,2490.790639
qldmurarrie,QLD,Murarrie,6,20648,13.67,4172,-27.46,153.11,3192,219916629,816,2236013,68896.18703,2740.21201
nswwentworthville,NSW,Wentworthville,4,20623,8.5,2145,-33.8,150.95,48497,2901032523,10361,24034163,59818.8037,2319.675997
qldwindsor,QLD,Windsor,20,20565,8.9,4030,-27.42,153.03,12145,909731642,2638,6256071,74905.85772,2371.52047
vicupper ferntree gully,VIC,Upper Ferntree Gully,49,20560,8.94,3156,-37.88,145.3,23656,1409759242,6417,17042859,59594.15125,2655.892006
saseaford,SA,Seaford,5,20526,23.4,5169,-35.2,138.47,10496,543233050,3215,6688684,51756.1976,2080.461586
nswfrenchs forest,NSW,Frenchs Forest,1,20500,4,1639,-33.79,151.25,NULL,NULL,NULL,NULL,NULL,NULL
qldleichhardt,QLD,Leichhardt,4,20500,10.25,4305,-27.6,152.77,33731,1775831523,9142,19205205,52646.86855,2100.766244
saandrews farm,SA,Andrews Farm,3,20496,10,5114,-34.67,138.67,18594,943539783,5223,10243871,50744.31446,1961.300211
nswsalamander bay,NSW,Salamander Bay,2,20400,14,2317,-32.72,152.08,3582,190673695,773,1772815,53231.07063,2293.421734
qldbray park,QLD,Bray Park,2,20350,9,4500,-27.29,152.96,26319,1546202396,6844,15850104,58748.52373,2315.912332
nswalbury,NSW,Albury,5,20298,8.8,2640,-36.08,146.91,22394,1315007959,5346,10947958,58721.44141,2047.878414
viccheltenham,VIC,Cheltenham,288,20255,10.53,3192,-37.96,145.06,14713,970204096,4014,10563238,65941.96262,2631.598904
nswbelmont,NSW,Belmont,4,20250,7.5,2280,-33.04,151.66,15414,932141312,4333,10375541,60473.68055,2394.539811
nswrosehill,NSW,Rosehill,2,20250,4,2142,-33.85,151.01,15402,704429885,2877,6253117,45736.26055,2173.485228
saaldinga beach,SA,Aldinga Beach,5,20250,19.6,5173,-35.27,138.48,6852,330651694,1914,3882812,48256.23088,2028.637409
vickangaroo flat,VIC,Kangaroo Flat,2,20250,10,3555,-36.83,144.23,10836,529545630,2974,5203133,48869.10576,1749.54035
qldstretton,QLD,Stretton,2,20225,13.5,4116,-27.62,153.05,16189,832184442,3666,8036145,51404.31416,2192.074468
vicclayton,VIC,Clayton,6,20167,8.5,3168,-37.93,145.12,10773,462644697,1898,3782078,42944.83403,1992.66491
wanorth perth,WA,North Perth,2,20100,12.5,6006,-31.98,115.76,5968,485169612,1352,2930447,81295.17627,2167.490385
saglenelg,SA,Glenelg,27,20088,10.78,5045,-34.98,138.52,10620,730815540,2483,6020775,68815.0226,2424.798631
qldbrendale,QLD,Brendale,103,20043,7.21,4500,-27.29,152.96,26319,1546202396,6844,15850104,58748.52373,2315.912332
actbarton,ACT,Barton,1,20000,11,221,-35.2,149.1,NULL,NULL,NULL,NULL,NULL,NULL
nswflynns beach,NSW,Flynns Beach,1,20000,7,2444,-31.4,152.85,26821,1410974330,6302,12731404,52607.07393,2020.216439
nswkaruah,NSW,Karuah,1,20000,11,2324,-32.67,151.81,12584,640631828,3222,7191686,50908.44151,2232.056487
nswst georges basin,NSW,St Georges Basin,1,20000,12,2540,-34.89,150.53,23177,1156372467,6703,13812795,49893.10381,2060.688498
nswwoodrising,NSW,Woodrising,1,20000,12,2284,-32.93,151.63,6304,357542191,1829,4354947,56716.71812,2381.053581
qlddeeragun,QLD,Deeragun,1,20000,3,4818,-19.2,146.66,18159,1129026481,6244,12789141,62174.48543,2048.22886
qldflying fish point,QLD,Flying Fish Point,1,20000,11,4860,-17.56,146,6017,285672230,1174,2023782,47477.5187,1723.834753
tasrokeby,TAS,Rokeby,1,20000,10,7019,-42.89,147.45,3423,161256830,838,1529895,47109.7955,1825.650358
vicdonald,VIC,Donald,1,20000,9,3480,-36.24,142.69,1020,42592600,232,469802,41757.45098,2025.008621
vicflemington,VIC,Flemington,1,20000,5,3031,-37.79,144.93,11972,866073724,2585,5448976,72341.60742,2107.921083
viclangwarrin,VIC,Langwarrin,2,20000,7,3910,-38.15,145.19,14084,831443658,4677,12623252,59034.62496,2699.006201
vicpatterson lakes,VIC,Patterson Lakes,1,20000,7,3197,-38.08,145.12,7441,507155186,2208,6574528,68156.85876,2977.594203
vicwarrandyte,VIC,Warrandyte,1,20000,10,3113,-37.73,145.22,5461,453783636,1307,3922058,83095.33712,3000.809487
wabalga,WA,Balga,1,20000,9,6061,-31.86,115.84,21949,1067442226,5835,11393033,48632.84095,1952.533505
nswglenhaven,NSW,Glenhaven,1,19999,6,2156,-33.66,150.94,8718,785734132,1626,6039310,90127.79674,3714.212792
nswlake cathie,NSW,Lake Cathie,1,19999,8,2445,-31.59,152.84,3853,186172235,897,1854845,48318.77368,2067.831661
nswwyoming,NSW,Wyoming,1,19999,8,2250,-33.11,151.14,39459,2324292966,9809,24115120,58904.00076,2458.468753
wasouth lake,WA,South Lake,1,19999,12,6164,-32.13,115.86,38637,2504482880,10878,21807602,64820.8422,2004.743703
nswquirindi,NSW,Quirindi,2,19995,7.5,2343,-31.66,150.3,2581,114342812,558,1096572,44301.74816,1965.182796
nsweast ballina,NSW,East Ballina,1,19990,7,2478,-28.87,153.56,17995,959888825,4554,9598722,53341.97416,2107.756258
nswlane cove,NSW,Lane Cove,1,19900,10,1595,-33.79,151.19,NULL,NULL,NULL,NULL,NULL,NULL
viccowes,VIC,Cowes,7,19886,15.43,3922,-38.45,145.24,4835,224253011,1068,2347622,46381.18118,2198.14794
vicfawkner,VIC,Fawkner,176,19873,10.7,3060,-37.76,144.9,7186,349330503,1792,4128270,48612.65001,2303.722098
wawoodvale,WA,Woodvale,3,19833,8.67,6026,-31.81,115.79,14147,916228603,3079,6522562,64764.86909,2118.402728
nswbroadwater,NSW,Broadwater,1,19800,14,2472,-29.01,153.44,1145,50924867,298,596707,44475.86638,2002.372483
qldberserker,QLD,Berserker,1,19800,4,4701,-23.36,150.52,23502,1394032542,4552,9192789,59315.48558,2019.505492
qldpacific pines,QLD,Pacific Pines,5,19780,18.6,4211,-28.03,153.28,37305,1987889771,10882,25416141,53287.48884,2335.613031
warivervale,WA,Rivervale,3,19767,12,6103,-31.96,115.91,6647,418997948,1753,3252828,63035.64736,1855.577867
qldallora,QLD,Allora,1,19750,9,4362,-28.04,151.98,1347,55861980,280,518782,41471.40312,1852.792857
nswrevesby,NSW,Revesby,95,19654,10.79,2212,-33.95,151.02,9480,546346094,2051,5136264,57631.44451,2504.273038
qldlandsborough,QLD,Landsborough,2,19650,8.5,4550,-26.81,152.96,2680,136137776,704,1629097,50797.67761,2314.058239
nswtaren point,NSW,Taren Point,25,19597,12.08,2229,-34.04,151.12,18952,1521539775,4708,14397938,80283.86318,3058.185641
vicdandenong,VIC,Dandenong,217,19538,9.53,3175,-38.03,145.18,28284,1300885763,6337,13840394,45993.69831,2184.060912
actgordon,ACT,Gordon,1,19500,15,2906,-35.52,149.08,11685,798941304,2992,5923956,68373.23954,1979.931818
qldalexandra hills,QLD,Alexandra Hills,3,19500,9.67,4161,-27.52,153.22,9811,544511484,2600,6001829,55500.1003,2308.395769
tasmornington,TAS,Mornington,1,19500,8,7018,-42.87,147.37,13332,755314926,2828,5191077,56654.28488,1835.600071
walathlain,WA,Lathlain,2,19500,12,6100,-31.96,115.9,10127,689886424,2333,4752035,68123.47428,2036.877411
actmitchell,ACT,Mitchell,2,19490,10,2911,-35.22,149.12,3066,236125660,893,1757878,77014.24005,1968.508399
vicwyndham vale,VIC,Wyndham Vale,6,19417,11,3024,-37.9,144.56,15578,858093184,4845,10984061,55083.65541,2267.092054
vicbroadmeadows,VIC,Broadmeadows,2,19400,14.5,3047,-37.68,144.92,9071,370177101,1881,3815485,40808.8525,2028.434343
qldbrinsmead,QLD,Brinsmead,2,19375,9.5,4870,-16.88,145.75,43952,2553587983,10251,19130129,58099.47176,1866.171983
viclalor,VIC,Lalor,3,19333,8.33,3075,-37.67,145.02,11462,542822649,2885,6663024,47358.4583,2309.540381
vicrosebud,VIC,Rosebud,3,19333,13.67,3939,-38.4,144.9,8173,404123354,2092,5259100,49446.14634,2513.910134
nswmayfield,NSW,Mayfield,16,19290,9.94,2304,-32.88,151.75,8639,481682840,2493,4976308,55756.78203,1996.112314
nswkillarney heights,NSW,Killarney Heights,2,19250,17,2087,-33.76,151.21,7964,699404777,1516,5059077,87820.79068,3337.122032
qldalexandra headland,QLD,Alexandra Headland,7,19241,8.71,4572,-26.67,153.11,2737,178265088,692,1744799,65131.56303,2521.385838
qldnerang,QLD,Nerang,13,19222,16.62,4211,-28.03,153.28,37305,1987889771,10882,25416141,53287.48884,2335.613031
vicwendouree,VIC,Wendouree,99,19213,9.33,3355,-37.55,143.82,6269,308090615,1820,3644463,49145.0973,2002.452198
qldchevallum,QLD,Chevallum,4,19192,16.25,4555,-26.7,152.99,4346,240783539,1003,2362275,55403.48343,2355.209372
taslindisfarne,TAS,Lindisfarne,3,19167,14,7015,-42.84,147.35,6625,374086768,1267,2365225,56465.92725,1866.791634
sabroadview,SA,Broadview,13,19107,18.54,5083,-34.87,138.61,4661,278726043,1148,2123741,59799.62304,1849.948606
qldslacks creek,QLD,Slacks Creek,377,19074,12.69,4127,-27.64,153.15,15153,821010018,3747,8660234,54181.35142,2311.244729
qldwacol,QLD,Wacol,19,19057,11.47,4076,-27.57,152.95,2753,136904868,573,1128427,49729.33818,1969.331588
vicwheelers hill,VIC,Wheelers Hill,5,19020,8,3150,-37.88,145.17,38216,2299028699,7233,16672037,60158.79995,2304.996129
nsweast killara,NSW,East Killara,1,19000,4,2071,-33.75,151.17,8996,1009179947,1264,3586155,112180.9634,2837.147943
nswjesmond,NSW,Jesmond,1,19000,6,2299,-32.9,151.69,6147,347429081,1617,3347412,56520.10428,2070.137291
qldthuringowa central,QLD,Thuringowa Central,1,19000,5,4817,-19.33,146.6,18010,1067610219,5390,10078925,59278.7462,1869.930427
vicbrunswick west,VIC,Brunswick West,2,19000,10.5,3055,-37.77,144.94,9610,615263633,2116,4664064,64023.27086,2204.189036
vicmontmorency,VIC,Montmorency,1,19000,7,3094,-37.72,145.12,5599,365809768,1501,3878053,65334.83979,2583.646236
nswboambee,NSW,Boambee,1,18990,6,2450,-30.34,153.07,25613,1332796642,5957,12630174,52035.94433,2120.223938
vicabbotsford,VIC,Abbotsford,1,18990,10,3067,-37.8,145,6474,484734639,1436,3427551,74874.05607,2386.873955
qldrichmond hill,QLD,Richmond Hill,1,18950,6,4820,-20.08,146.25,5203,292247685,1137,2069449,56169.07265,1820.095866
qldmunruben,QLD,Munruben,1,18900,5,4125,-27.75,153.03,5475,279019761,1408,3572487,50962.51342,2537.277699
vicbelgrave,VIC,Belgrave,2,18900,6,3160,-37.91,145.36,5688,346688370,1496,3949527,60950.83861,2640.058155
vicsale,VIC,Sale,65,18877,10.11,3850,-38.42,147.08,8289,486163201,2911,5664209,58651.61069,1945.794916
nsworange,NSW,Orange,10,18856,9.1,2800,-33.12,149.03,26064,1587401375,7618,15040572,60903.98155,1974.346548
nswmanly,NSW,Manly,4,18837,10.75,1655,-33.33,151.51,71,15093664,9,32681,212586.8169,3631.222222
qldcaloundra west,QLD,Caloundra West,20,18803,8.35,4551,-26.78,153.11,36674,1973273965,9560,23266489,53805.80152,2433.733159
qldclifton beach,QLD,Clifton Beach,1,18800,10,4879,-16.77,145.67,12841,758417761,3223,6439484,59062.20396,1997.978281
qldbrisbane,QLD,Brisbane,42,18780,10.38,4000,-27.47,153.03,13652,888895544,1653,4132242,65111.0126,2499.84392
nswcameron park,NSW,Cameron Park,2,18750,7,2285,-32.93,151.66,18234,1060937246,5824,12772664,58184.55885,2193.108516
sarenmark,SA,Renmark,2,18750,11.5,5341,-34.21,140.69,4334,207696909,1065,1995075,47922.6832,1873.309859
nswislington,NSW,Islington,6,18666,12.83,2296,-32.91,151.75,1257,75611040,350,709748,60151.98091,2027.851429
nswbungendore,NSW,Bungendore,3,18653,11.67,2621,-35.81,149.43,4202,312496344,1070,2803132,74368.47787,2619.749533
nswnorth ryde,NSW,North Ryde,3,18628,7.33,2113,-33.8,151.13,15160,1088852073,2789,7093206,71824.01537,2543.279312
qldunderwood,QLD,Underwood,152,18575,11.72,4119,-27.59,153.11,3988,219706647,924,2048705,55091.93756,2217.213203
nswsutherland,NSW,Sutherland,119,18552,11.91,1499,-34.02,151.06,50,5913292,4,2891,118265.84,722.75
nswglenwood,NSW,Glenwood,5,18540,12.8,2768,-33.74,150.92,16488,1103083402,4141,11197010,66902.19566,2703.938662
nswthe rocks,NSW,The Rocks,3,18533,12.67,2000,-33.86,151.21,23056,1816478952,1417,3908263,78785.52012,2758.124912
nswbarden ridge,NSW,Barden Ridge,1,18500,10,2234,-33.99,151.02,20135,1434698757,5315,15989244,71253.97353,3008.324365
nswmays hill,NSW,Mays Hill,1,18500,7,2145,-33.8,150.95,48497,2901032523,10361,24034163,59818.8037,2319.675997
ntlarrakeyah,NT,Larrakeyah,1,18500,12,820,-12.41,130.86,13062,1079618958,4006,7172969,82653.41893,1790.556415
qldalbany creek,QLD,Albany Creek,3,18500,9,4035,-27.35,152.97,16887,1204379369,4033,10002637,71319.91289,2480.19762
samagill,SA,Magill,1,18500,11,5072,-34.92,138.68,7946,521513265,1723,3592452,65632.17531,2084.998259
samillswood,SA,Millswood,1,18500,11,5034,-34.96,138.59,6566,506897449,1345,2926125,77200.34252,2175.557621
wanorth lake,WA,North Lake,2,18495,9.5,6163,-32.09,115.84,32227,2013436433,7713,15380878,62476.69448,1994.149877
