Sub_code,State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
WA6346,WA,6346,477,29035242,59,130789,60870.5283,2216.762712
WA6348,WA,6348,436,25057101,92,205126,57470.41514,2229.630435
WA6350,WA,6350,274,17289018,46,88260,63098.60584,1918.695652
WA6352,WA,6352,132,8663120,12,15853,65629.69697,1321.083333
WA6353,WA,6353,545,33979002,98,181378,62346.79266,1850.795918
WA6355,WA,6355,366,29791571,42,146774,81397.73497,3494.619048
WA6356,WA,6356,89,7594932,10,26158,85336.31461,2615.8
WA6357,WA,6357,52,3976258,6,14078,76466.5,2346.333333
WA6358,WA,6358,73,5190546,7,14037,71103.36986,2005.285714
WA6359,WA,6359,321,26227177,37,78057,81704.60125,2109.648649
WA6361,WA,6361,78,6069931,5,12616,77819.62821,2523.2
WA6363,WA,6363,53,2929635,1,3400,55276.13208,3400
WA6365,WA,6365,352,24187769,38,70420,68715.25284,1853.157895
WA6367,WA,6367,226,14806639,30,62070,65516.10177,2069
WA6369,WA,6369,461,35528159,43,94813,77067.59002,2204.953488
WA6370,WA,6370,318,20216823,53,118952,63574.91509,2244.377358
WA6372,WA,6372,75,5271893,8,16931,70291.90667,2116.375
WA6375,WA,6375,631,46475164,77,157374,73653.19176,2043.818182
WA6383,WA,6383,568,42793414,75,135254,75340.51761,1803.386667
WA6386,WA,6386,56,4968579,2,5100,88724.625,2550
WA6390,WA,6390,956,67913917,213,389207,71039.66213,1827.262911
WA6391,WA,6391,665,48570240,97,181611,73037.95489,1872.278351
WA6392,WA,6392,344,25237840,46,102212,73365.81395,2222
WA6393,WA,6393,67,3434738,5,11750,51264.74627,2350
WA6394,WA,6394,150,8484736,17,30019,56564.90667,1765.823529
WA6395,WA,6395,1348,78769156,164,368279,58434.09199,2245.603659
WA6396,WA,6396,229,13437101,51,103157,58677.29694,2022.686275
WA6398,WA,6398,313,13058814,46,81442,41721.45048,1770.478261
