Row Labels,Count of Suburb,Average of Price,Average of Vehicle Age
nswfairy meadow,5,13395,9.6
nswfarmborough heights,1,27000,8
nswfaulconbridge,1,7000,21
nswfern bay,1,41500,8
nswfigtree,6,30083.33333,7.666666667
nswfingal head,1,21500,8
nswfive dock,222,34087.68493,11.1036036
nswfletcher,2,54950,8.5
nswflynns beach,1,20000,7
nswforbes,1,45400,9
nswforest lodge,2,37475,9
nswforestville,1,9500,8
nswforresters beach,2,35450,7
nswforster,2,14449.5,12
nswfrenchs forest,1,20500,4
nswgateshead,47,41180.87234,5.234042553
nswgeissler motors goulburn (used)goulburn,12,20656.66667,7.5
nswgeorges hall,1,30500,5
nswgerogery,1,24500,7
nswgirraween,1,32880,8
nswgladesville,2,44825,8
nswglebe,17,43867.05882,7.941176471
nswgledswood hills,1,37500,7
nswglen innes,2,12650,11
nswglendale,40,22912.7,6.2
nswglendenning,1,17000,17
nswglenfield,4,12650,11.75
nswglenfield park,3,32006,11.66666667
nswglenhaven,1,19999,6
nswglenmore park,5,27880,6.6
nswglenwood,5,18539.8,12.8
nswgoogong,1,45000,3
nswgoonellabah,1,37000,5
nswgordon,2,27500,6
nswgosford,18,32289.05556,7.444444444
nswgoulburn,111,33424.03604,6.072072072
nswgrafton,25,33080.8,5.36
nswgranville,176,26101.84659,9.5
nswgrassy head,1,16000,11
nswgravesend,2,4990,19
nswgreen valley,2,29000,6
nswgreenacre,136,29294.02206,8.860294118
nswgreenhills beach,1,24000,5
nswgregory hills,2,62495,7.5
nswgreystanes,12,14065.91667,11.91666667
nswgriffith,11,30712.72727,7.181818182
nswguildford,44,32065.27273,5.159090909
nswgulmarrad,1,67500,12
nswgundagai,3,21833.33333,7.666666667
nswgunnedah,2,31250,7
nswgurrundah,2,1200,18
nswgymea,1,2999,22
nswgymea bay,2,44500,5.5
nswhaberfield,88,27960.95455,12.77272727
nswhallidays point,1,54000,3
