Row Labels,Count of Suburb,Average of Price,Average of Vehicle Age
vicglen waverley,105,36111.70476,5.228571429
vicglenroy,6,22000,7.666666667
vicgolden square,18,28350.88889,7.833333333
vicgormandale,1,62750,3
vicgrantville,1,13500,12
vicgreensborough,2,10500,14
vicgreenvale,5,28300,11.6
vicgrovedale,5,36360,4.4
vichallam,30,50073.1,5.933333333
vichamilton,10,37618,7.4
vichamlyn heights,2,21000,7
vichampton park,7,15748.57143,9.571428571
vichastings,68,27578.91176,8.058823529
vichattah,2,5345,14.5
vichawthorn,2,14499.5,10.5
vichawthorn east,15,36224,5.933333333
vicheatherton,3,14500,13
vicheathmont,1,13950,13
vicheidelberg,38,32708.65789,4.684210526
vicheidelberg west,5,15472,10.2
vichighton,1,57000,4
vichillside,2,32950,7
vichoppers crossing,724,26366.29972,8.468232044
vichorsham,6,30149.83333,7
vichuntingdale,2,14097,13.5
vichurstbridge,1,32000,2
vicinvergordon,1,6500,12
vicinvermay,3,37160,5
vicivanhoe,2,29250,8.5
vicjunortoun,1,13900,5
vickangaroo flat,2,20250,10
vickealba,3,11663.33333,16.33333333
vickeilor east,4,17420,13.25
vickennington,1,29500,4
vickensington,1,15000,7
vickew,1,7990,13
vickeysborough,49,36508.36735,4.204081633
vickialla,4,35115,5.5
vickilmore,49,40627.04651,4.346938776
vickilsyth,1,8000,14
vickilsyth south,1,29990,10
vicknoxfield,2,30425,7.5
vickoroit,3,7266.666667,18
vickurunjang,3,5800,22.33333333
vickyabram,3,10000,17.33333333
viclakes entrance,3,7666.666667,10.33333333
viclalor,3,19333,8.333333333
viclancefield,1,25000,10
viclangwarrin,2,20000,7
viclara,5,27176,6.8
viclaverton,2,6500,14
viclaverton north,186,32234.76374,12.2311828
vicleopold,2,10000,16
viclilydale,116,29313.37069,7.974137931
viclilydale hyundai cjd & ldvlilydale,1,62980,2
viclynbrook,1,38800,4
viclysterfield south,2,14850,16.5
vicmacarthur,1,16900,7
vicmacclesfield,1,27500,43
vicmacleod,2,9375,13.5
vicmaidstone,87,15325.6092,10.97701149
vicmalvern,14,51770,5.642857143
vicmansfield,3,29933.33333,6
vicmantello hyundairoxburgh park,8,40288.125,1
vicmaribyrnong,8,14485.125,11.875
vicmaryknoll,1,3500,15
vicmccrae,1,12500,13
vicmelbourne,154,39379.97403,7.519480519
vicmelbourne airport,2,39500,18
vicmelton,31,22071.93548,7.387096774
vicmelton south,3,14000,10
vicmentone,65,39593.4,5.338461538
vicmerino,2,6390,14
vicmernda,5,41995.8,4.2
vicmickleham,5,27879.6,12.4
vicmildura,4,30962.25,4.75
vicmill park,8,24456.25,9.125
vicminyip,1,12500,16
vicmitcham,31,53878.03226,24.80645161
vicmoe,2,9950,13
vicmont albert,1,21999,7
vicmontmorency,1,19000,7
vicmoolap,1,50000,5
vicmoorabbin,423,32052.34679,8.153664303
vicmoorilim,1,7780,14
vicmooroolbark,1,7999,12
vicmooroopna,1,3000,19
vicmorang south,2,15945,11
vicmordialloc,83,9790.325301,12.40963855
vicmorgiana,1,4470,15
vicmornington,302,49885.10927,6.28807947
vicmortlake,1,7500,15
vicmorwell,21,17972.2381,12.04761905
vicmount eliza,7,21694.28571,10.71428571
vicmount evelyn,1,33000,5
vicmount martha,3,17833,10.33333333
vicmount pleasant,29,7109.655172,16.62068966
vicmount waverley,2,10000,10
vicmulgrave,110,64938.25455,5.072727273
vicmurgheboluc,1,15000,5
vicnarre warren,171,34174.84795,4.573099415
vicnarre warren north,2,33450,7.5
vicnarre warren south,3,17266.66667,9
vicnewborough,2,32500,13.5
vicnewport,1,12500,11
vicnewtown,34,15319.70588,11.85294118
vicniddrie,1,15200,8
vicnoble park,4,36247.5,8.5
vicnoble park north,1,28990,13
vicnorlane,5,23638,31.2
vicnorth geelong,42,7879.428571,14.97619048
vicnorth melbourne,1,11199,6
vicnorth warrandyte,1,2950,19
vicnorth wonthaggi,1,17500,2
vicnorthcote,3,11956.66667,13
vicnunawading,55,30134.92727,5.6
vicoak park,2,23750,8
vicoaklands junction,1,3000,29
vicoakleigh,175,36690.6,5.96
vicoakleigh east,2,14000,12
vicoakleigh south,50,24257.3,13.1
vicofficer,37,21087.02703,9.648648649
vicormond,1,3300,11
vicpakenham,241,25956.95436,7.809128631
vicparkdale,2,33250,7
vicparkville,2,37799.5,4
vicpascoe vale,5,42013.6,16.4
vicpascoe vale south,1,34500,5
vicpatterson lakes,1,20000,7
vicpaynesville,1,1500,23
vicpines forest,2,7500,14
vicplumpton,2,3500,15
vicpoint cook,7,23080,7.285714286
vicpoint leo,1,33000,6
vicpoint lonsdale,1,34000,4
vicport melbourne,343,52086.74052,8.437317784
vicportarlington,1,3850,17
vicportland,1,4000,12
vicprahran,1,9999,4
vicpreston,101,26842.17822,8.782178218
vicprinces hill,1,24500,5
vicrainbow,1,4780,18
vicravenhall,236,28275.74569,6.987288136
vicreservoir,2,14495,10.5
vicrichmond,70,211533.7429,6.328571429
vicringwood,525,22373.2729,10.89714286
vicringwood north,1,18000,11
vicrockbank,5,13856,12.6
vicromsey,3,6000,16.33333333
vicrosanna,3,14066.33333,12.66666667
vicrosebud,3,19333.33333,13.66666667
vicrosedale,2,31500,14
vicrowville,4,18325,11.5
vicroxburgh park,4,24112.5,9.5
vicrushworth,1,46000,7
vicrutherglen,1,16000,6
vicsafety beach,1,21000,6
vicsale,65,18876.89231,10.10769231
vicsandhurst,2,83500,2
vicsandringham,1,15500,6
vicsea lake,2,21500,5
vicseaford,181,30013.75843,8.116022099
vicsebastopol,42,32512.14286,5.142857143
vicseymour,77,27794.27273,7.675324675
vicshepparton,83,33431.62195,8.445783133
vicskye,5,11299,13.6
vicsomerton,1,40000,3
vicsorrento,1,74999,6
vicsouth geelong,16,10865,13.0625
vicsouth melbourne,157,40338.98726,7.070063694
vicsouth morang,109,31436.30275,5.651376147
vicsouthbank,45,47991.66667,6.133333333
vicspotswood,1,21000,8
vicspringvale,103,28744.94175,8
vicspringvale south,1,41000,5
vicst albans,10,8549.4,13.6
vicst arnaud,1,22500,12
vicst kilda east,4,28647,6.25
vicst kilda west,1,16999,9
vicst leonards,1,2000,24
vicstrathmore,1,40700,5
vicsunbury,77,31742.80519,5.818181818
vicsunshine,11,9873.636364,13.45454545
vicsunshine north,1,5500,13
vicsunshine west,2,29400,8
vicsurrey hills,1,23999,10
vicswan hill,51,34147.78431,6.098039216
vicswan reach,1,2000,16
vicsydenham,3,10366.66667,18
victarneit,10,14178.8,10.9
victaylors hill,2,6500,8
victeesdale,2,9824,11
victemplestowe,3,7463,17
victemplestowe lower,2,30250,12
victhe basin,1,14000,13
victhomastown,143,26396.78322,10.94405594
victhornbury,1,15750,9
victoorak,2,5900,22.5
victorquay,3,28083.33333,10
victottenham,29,39176.2069,4.517241379
victraralgon,187,27342.45455,8.07486631
victruganina,6,16733.33333,9
victullamarine,41,60302.43902,6.073170732
vicupper ferntree gully,49,20559.77551,8.93877551
vicupwey,1,36490,8
vicvermont,39,41487.97436,4.230769231
vicvermont south,4,10625,16.75
vicviewbank,1,31990,3
vicviolet town,2,14995,13
vicwallan,4,33424.75,7.75
vicwandin north,2,11590,11
vicwangaratta,40,32668.725,5.575
vicwantirna,66,33724.54545,5.424242424
vicwarburton,1,17500,10
vicwarracknabeal,1,58000,6
vicwarragul,29,34726.55172,5.344827586
vicwarrandyte,1,20000,10
vicwarrenheip,1,23000,9
vicwarrnambool,43,41769.74419,7.418604651
vicwaterways,1,102000,5
vicwatsonia,14,8885,17.14285714
vicwendouree,99,19213.25253,9.333333333
vicwerribee,148,17083.40816,11.93243243
vicwest footscray,207,17147.48792,11.95652174
vicwest motorscobram,1,18990,5
vicwest wodonga,4,29240,4.25
vicwestmeadows,2,21450,12.5
vicwheelers hill,5,19020,8
vicwhittlesea,2,110000,2
vicwilliams landing,2,26250,6
vicwilliamstown,3,40666,11
vicwilliamstown north,7,10565.28571,12.42857143
vicwodonga,204,36791.14706,6.68627451
vicwollert,3,28100,8
vicwonthaggi,1,35000,3
vicwoodvale,1,25500,5
vicwyndham vale,6,19416.5,11
vicyan yean,1,36000,6
vicyarra glen,1,45000,8
vicyarragon,1,12000,15
vicyarram,14,27683.57143,7.142857143
vicyarraville,3,28663.33333,8
vicyarrawonga,2,78000,4
vicyinnar,1,60000,22
waalbany,15,30046.53333,5.866666667
waalexander heights,1,22990,9
waalkimos,1,11000,7
waapplecross,22,47349.09091,7.909090909
waardross,1,990,20
waascot,2,48990,5
waattadale,43,36624.76744,5.441860465
waaubin grove,2,28749.5,4.5
waaveley,1,36500,11
wabalcatta,55,37195.27273,5.727272727
wabaldivis,10,24513,11.6
wabalga,1,20000,9
waballajura,4,42897.25,6.75
wabanksia grove,3,22516.66667,7
wabassendean,24,28615.41667,3.916666667
wabateman,1,38000,9
wabayswater,94,51732.93617,9.276595745
wabeaconsfield,9,16383.88889,12.55555556
wabeckenham,153,13997.84967,11.70588235
wabedford,2,5875,15
wabeechboro,1,45000,2
wabeeliar,1,25000,9
wabeldon,1,26000,11
wabellevue,15,17100.13333,12.33333333
wabelmont,2,10950,12.5
wabentley,832,44796.55649,5.284855769
waberesford,2,55300,4
wabibra lake,74,39025.33784,6.378378378
wabicton,1,15500,14
wabroome,10,29479.8,5.7
wabull creek,1,83000,12
wabunbury,42,29229.04762,6.952380952
waburns beach,1,35000,7
waburswood,5,35383,11
wabusselton,16,37178.125,6.125
wabutler,6,14033.33333,11.66666667
wabyford,7,34500,12
wacanning vale,267,34358.44944,6.112359551
wacannington,346,33170.7341,6.404624277
wacarine,1,18000,10
wacarlisle,1,6590,9
wacarramar,1,92500,7
wacaversham,1,8900,10
waclaremont,2,78700,8.5
waclarkson,114,31974.0614,6.043859649
wacloverdale,1,46990,2
wacollie,5,22392,8.6
wacomo,58,26994.03448,13.53448276
waconnolly,1,16000,14
wacoogee,1,13500,10
wacoolbellup,2,15250,10.5
wadarch,1,10500,9
wadarlington,1,28500,6
wadayton,2,9500,14
wadianella,1,17950,9
wadudley park,9,43323.33333,4.666666667
waduncraig,3,40833.33333,8
wadunsborough,2,36500,11.5
waeast bunbury,23,21163.91304,9.565217391
waeast fremantle,2,29750,8.5
waeast perth,1,8000,12
waeast rockingham,1,5990,15
waeast victoria park,21,13203.80952,13.14285714
waeaton,1,17800,12
waedgewater,193,34913.25389,5.777202073
waellenbrook,48,27365.8125,9.270833333
waembleton,13,8913.076923,13.23076923
wafalcon,1,117000,54
waforrestfield,1,9500,15
wafremantle,49,32082.93878,8.204081633
wageraldton,13,30376.15385,9.153846154
waglen forrest,2,16900,13
waglendalough,2,22000,11
wagooseberry hill,1,15000,7
wagosnells,71,32929.85915,6
wagreenfields,84,32480.47619,5.773809524
wagwelup,1,42500,10
wahalls head,3,16800,16
wahamilton hill,1,6000,14
waharrisdale,2,32500,5.5
waharvey,11,22171.81818,6.818181818
wahaynes,1,17990,8
wahazelmere,1,6500,14
waheathridge,3,12550,15.33333333
wahigh wycombe,3,14933.33333,9.333333333
wahighgate,2,8050,9
wahillarys,2,18000,5
wahocking,1,7000,16
wainglewood,1,21990,11
wajandakot,246,51179.9878,5.471544715
wajane brook,2,30950,9.5
wajarrahdale,1,46950,47
wajindalee,1,59999,13
wajohn hughes passengervictoria park,153,23031.5098,4.078431373
wajoondalup,6,22050,13
wakalamunda,29,35404.13793,6.413793103
wakalgoorlie,1,23000,9
wakallaroo,2,6000,12.5
wakarrinyup,2,17495,15
wakelmscott,1,10500,11
wakenwick,212,25337.57075,9.273584906
wakewdale,2,38199.5,9
wakiara,1,7990,12
wakingsley,141,38252.36879,6.432624113
wakinross,1,16000,8
wakwinana beach,1,30000,18
wakwinana town centre,1,15000,39
walake clifton,2,26000,19
walandsdale,6,16825,11.33333333
walathlain,2,19500,12
wamaddington,359,34940.30641,6.440111421
wamadeley,1,6500,16
wamaida vale,2,12161.5,12.5
wamalaga,34,16521.79412,10.97058824
wamandurah,86,25917.60465,9.337209302
wamanjimup,1,27500,11
wamanning,2,14950,14
wamargaret river,13,15510,11.15384615
wamarmion,2,29250,8
wamaylands,10,12992,12.2
wamedina,1,7000,12
wamelville,298,40799.95302,5.463087248
wamelville - hyundaimelville,18,29682.66667,4.666666667
wamerriwa,1,21000,9
wamidland,311,47411.24759,5.353697749
wamorley,121,28283.86777,6.363636364
wamount claremont,1,38990,10
wamount hawthorn,2,12895,8.5
wamount lawley,27,9931.259259,14.40740741
wamunster,1,11500,32
wamurdoch,2,6225,19.5
wamyaree,108,35366.24074,8.574074074
wanannup,1,6000,20
wanedlands,9,145377.7778,7
wanollamara,5,10320,12
wanoranda,2,16000,16.5
wanorth coogee,4,17192.25,8.25
wanorth lake,2,18494.5,9.5
wanorth perth,2,20100,12.5
wanortham,6,27656.66667,6.333333333
wanorthbridge,46,35309.56522,3.739130435
waorelia,2,12750,14.5
waosborne park,529,49175.08696,6.686200378
wapalmyra,22,34626.36364,4.409090909
wapearsall,1,8500,11
wapeppermint grove,1,52500,5
waperth,37,46562.48649,11.45945946
waperth airport,20,24080.55,5.3
wapinjarra,2,9975,42
waqueens park,1,5300,17
wariverton,2,8050,12.5
warivervale,3,19766.66667,12
warockingham,411,28139.60097,6.96107056
warossmoyne,1,49500,2
wasaint james,25,13230,12.68
wasalter point,2,35700,12
wascarborough,3,24166.66667,11.66666667
waseville grove,2,53000,15
washoalwater,1,5500,18
wasinagra,1,15500,17
wasomerville,1,30000,8
wasorrento,3,25245,9.333333333
wasouth bunbury,7,21100.85714,6.142857143
wasouth fremantle,13,11297.69231,11.76923077
wasouth guildford,1,29500,6
wasouth lake,1,19999,12
wasouth perth,2,26625,9
wasouthern river,2,67997.5,5
waspearwood,2,51750,34
wast james,1,53990,5
wastirling,1,23000,6
wasubiaco,3,16500,12
wathe vines,3,29500,9.333333333
wathornlie,3,12000,11.66666667
watuart hill,1,90000,7
wavictoria park,1243,27154.20676,8.484312148
wawaikiki,1,4400,17
wawangara,1108,24928.04422,9.694043321
wawanneroo,58,33957.77586,6.051724138
wawarnbro,2,43000,12
wawarwick,1,109900,1
wawaterford,1,33550,8
wawattle grove,1,5500,20
wawebberton,4,34240,7.5
wawedgefield,1,4000,20
wawellard,1,3500,14
wawelshpool,598,35612.61204,8.372909699
wawembley,1,5675,13
wawest perth,54,21290.48148,10.48148148
wawestminster,2,27125,10.5
wawhite gum valley,1,15500,6
wawilletton,4,36050,10.75
wawilliams,1,37500,9
wawilson,3,12399,11.33333333
wawinthrop,1,32000,10
wawonthella,3,33323.33333,6.333333333
wawoodvale,3,19833.33333,8.666666667
wayangebup,7,12491.42857,11.42857143
wayokine,2,24400,9
(blank),,,
Grand Total,52286,31852.12902,8.128409134
